update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
10,475,25600,1039.0864214878225,24,0.32551269652321935,0.3909976793621288,0.0,0.9859374761581421,0.484375,44.296875,24.818516076396975,1.0,64.0,1.8156409949064254,1.6543248355388642,-0.5902225551195442,12.93353717327118,5.8583900928497314,2.6271133422851562
20,1038,51200,1022.3410708122377,49,0.32993164111394435,0.3811822769809035,0.0,0.9859374761581421,0.5,44.09375,24.094682212834847,1.0,64.0,1.765641075372696,2.2912999629974364,-0.1458178387605585,8.751164662837983,4.212108254432678,3.5378719568252563
30,1627,76800,1025.5158147442553,74,0.4377929689362645,0.3734911124467963,0.0,0.9859374761581421,0.625,37.3125,23.477965068335884,1.0,64.0,1.6528516978025438,2.7926371455192562,-0.8797501519322395,14.410108351707459,6.3087756633758545,5.788317441940308
40,2242,102400,1021.1574245391014,99,0.38342285016551614,0.3789128542269002,0.0,0.9859374761581421,0.5625,40.734375,23.84994902215464,1.0,64.0,1.5296731114387514,2.864382046461105,-0.6575493648648262,11.354898923635481,5.0046035051345825,4.758130788803101
50,2840,128000,1010.318665637161,124,0.37900390569120646,0.38579769867638014,0.0,0.9859374761581421,0.546875,40.9375,24.32069270703448,1.0,64.0,1.4707363724708558,2.2697028458118442,-0.5631885003298521,12.69852660894394,5.771367073059082,11.054441452026367
60,3479,153600,1002.9320154963167,149,0.44383333414793014,0.38965704199722073,0.0,0.9859374761581421,0.6133333333333333,36.8,24.621399906043795,1.0,64.0,1.5155671566724775,2.8556610524654387,-0.7283190671354532,15.165320646762847,6.8391852378845215,7.638306140899658
70,4138,179200,1029.8269148692314,174,0.43524038310234364,0.37665919178643087,0.0,0.9859374761581421,0.6615384615384615,37.753846153846155,24.078097784073563,1.0,64.0,1.4048079788684844,2.9210428476333616,-0.7862531184218824,13.985860586166382,6.192629337310791,6.161314010620117
80,4856,204800,1028.992385733778,200,0.4474264707635431,0.39936542793200913,0.0,0.971875011920929,0.6029411764705882,36.470588235294116,25.277559559835638,2.0,64.0,1.3976021826267242,2.951829046010971,-0.5680925755761563,13.12635189294815,5.981106758117676,9.012086868286133
90,5592,230400,1005.8706986112087,225,0.5067845359444618,0.3825647461345641,0.0,0.9859374761581421,0.6973684210526315,32.921052631578945,24.405975949546896,1.0,64.0,1.3388573616743087,3.1367859542369843,-0.9188112586736679,14.038793218135835,6.0871970653533936,9.566718816757202
100,6398,256000,1009.4061140346638,250,0.5509789156985571,0.366910319663098,0.0,0.9859374761581421,0.7590361445783133,30.216867469879517,23.57405567632834,1.0,64.0,1.2932101249694825,3.4797978162765504,-1.2424791045486927,19.452326726913455,8.470752716064453,10.942224502563477
110,7239,281600,1015.1657453287838,276,0.5051041670640309,0.38696664685083926,0.0,0.957812488079071,0.7066666666666667,33.10666666666667,24.856695051613134,3.0,64.0,1.2832450658082961,3.97512047290802,-0.26256550624966624,14.233765983581542,6.841485023498535,10.547789096832275
